#    distance            Ux
  1.54198e-18  -1.13751e-18
     0.015873     -0.011624
     0.031746    -0.0225058
     0.047619    -0.0327709
    0.0634921    -0.0425251
    0.0793651    -0.0518608
    0.0952381    -0.0608596
     0.111111    -0.0695931
     0.126984    -0.0781067
     0.142857    -0.0864788
      0.15873    -0.0947511
     0.174603     -0.102956
     0.190476     -0.111117
     0.206349     -0.119249
     0.222222     -0.127354
     0.238095     -0.135422
     0.253968     -0.143436
     0.269841     -0.151363
     0.285714     -0.159161
     0.301587     -0.166777
      0.31746     -0.174143
     0.333333     -0.181184
     0.349206     -0.187756
     0.365079     -0.193797
     0.380952     -0.199203
     0.396825     -0.203863
     0.412698     -0.207662
     0.428571     -0.210487
     0.444444     -0.212225
     0.460317     -0.212629
      0.47619     -0.211726
     0.492063     -0.209436
     0.507937     -0.205691
      0.52381     -0.200442
     0.539683     -0.193661
     0.555556     -0.185335
     0.571429     -0.175309
     0.587302     -0.163786
     0.603175     -0.150816
     0.619048     -0.136463
     0.634921     -0.120798
     0.650794     -0.103897
     0.666667    -0.0858319
      0.68254    -0.0665486
     0.698413    -0.0462114
     0.714286    -0.0248244
     0.730159   -0.00234572
     0.746032     0.0213259
     0.761905     0.0463681
     0.777778      0.073053
     0.793651      0.102048
     0.809524      0.133719
     0.825397      0.168769
      0.84127      0.208049
     0.857143      0.252544
     0.873016      0.303333
     0.888889      0.361512
     0.904762      0.429094
     0.920635      0.505864
     0.936508      0.591913
     0.952381      0.686563
     0.968254      0.788158
     0.984127      0.893929
            1             1
